zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.unit,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.videoCount,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,availabilityDate,brokerName,lotAreaString,streetViewURL,streetViewMetadataURL,communityName,builderName,hdpData.homeInfo.providerListingID,plid,isCdpResult,isComingSoonCommunity
26683152,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/fd47d82cf21e2c139e872c500477fbce-p_e.jpg,True,/homedetails/4044-Buena-Vista-St-APT-218-Dallas-TX-75204/26683152_zpid/,FOR_SALE,Condo for sale,"$325,000",$325K,"4044 Buena Vista St APT 218, Dallas, TX 75204",2.0,3.0,1085.0,Showcase,showcase,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,1208443000.0,32.814713,-96.79588,26683152.0,4044 Buena Vista St APT 218,75204,Dallas,TX,32.814713,-96.79588,325000.0,3.0,2.0,1085.0,CONDO,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,325000.0,1208443000.0,True,False,False,USD,USA,254980.0,Apt 218,0.8610000000000001,acres,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26809367,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/540e65ee1650eefed49255b5747889bd-p_e.jpg,True,/homedetails/3223-Whitehall-Dr-Dallas-TX-75229/26809367_zpid/,FOR_SALE,House for sale,"$525,000",$525K,"3223 Whitehall Dr, Dallas, TX 75229",4.0,3.0,1988.0,Showcase,showcase,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,370715000.0,32.901066,-96.8676,26809367.0,3223 Whitehall Dr,75229,Dallas,TX,32.901066,-96.8676,525000.0,3.0,4.0,1988.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,525000.0,370715000.0,True,False,False,USD,USA,475730.0,,0.298,acres,True,1713855600000.0,535200.0,3300.0,"$17,000 (Apr 23)",-17000.0,,,,,,,,,,,,,,,,,,,,,,,,,
26903542,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5f815fecdaefa9e6b15ecf6ab68e1979-p_e.jpg,True,/homedetails/10777-Strait-Ln-Dallas-TX-75229/26903542_zpid/,FOR_SALE,House for sale,"$40,000,000",$40.0M,"10777 Strait Ln, Dallas, TX 75229",6.0,11.0,17679.0,13 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,1172569000.0,32.8943,-96.82546,26903542.0,10777 Strait Ln,75229,Dallas,TX,32.8943,-96.82546,40000000.0,11.0,6.0,17679.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,40000000.0,1172569000.0,True,False,False,USD,USA,10448460.0,,3.304,acres,False,,36954700.0,69738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26813671,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/190d19818f225a499b466c148b967ad0-p_e.jpg,True,/homedetails/5525-Glen-Forest-Ln-Dallas-TX-75241/26813671_zpid/,FOR_SALE,House for sale,"$300,000",$300K,"5525 Glen Forest Ln, Dallas, TX 75241",4.0,4.0,2910.0,265 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,22977959000.0,32.678993,-96.82058,26813671.0,5525 Glen Forest Ln,75241,Dallas,TX,32.678993,-96.82058,300000.0,4.0,4.0,2910.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,300000.0,22977959000.0,True,False,False,USD,USA,490320.0,,2.118,acres,False,1717225200000.0,283300.0,2829.0,"$99,000 (Jun 1)",-99000.0,,,,,,,,,,,,,,,,,,,,,,,,,
96527896,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/47f73fa0d003413efecd5b409d861321-p_e.jpg,True,/homedetails/4002-Agnes-St-Dallas-TX-75210/96527896_zpid/,FOR_SALE,House for sale,"$300,000",$300K,"4002 Agnes St, Dallas, TX 75210",4.0,3.0,1653.0,Showcase,showcase,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,3848713000.0,32.76537,-96.73679,96527896.0,4002 Agnes St,75210,Dallas,TX,32.76537,-96.73679,300000.0,3.0,4.0,1653.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,300000.0,3848713000.0,True,False,False,USD,USA,243480.0,,5662.8,sqft,True,,,2365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26757825,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2a4ec67fe8846ee88aea9cc3ca971e86-p_e.jpg,True,/homedetails/5619-Walnut-Hill-Ln-Dallas-TX-75229/26757825_zpid/,FOR_SALE,House for sale,"$47,000,000",$47.0M,"5619 Walnut Hill Ln, Dallas, TX 75229",10.0,17.0,27092.0,72 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,True,False,False,False,False,,False,False,6295045000.0,32.8825,-96.81111,26757825.0,5619 Walnut Hill Ln,75229,Dallas,TX,32.8825,-96.81111,47000000.0,17.0,10.0,27092.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,47000000.0,6295045000.0,True,False,False,USD,USA,30604120.0,,11.9433,acres,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/fba43b248f06ee74f2f4da2ed38811e2-p_e.jpg,True,/b/lakeview-loft-condos-dallas-tx-5Xzcjy/,FOR_SALE,For Rent,"From $95,000",,"7152 Fair Oaks Ave, Dallas, TX",,,,,,,,,,,False,,False,False,False,False,,False,,2423301000.0,32.87347,-96.75619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,514.0,1003031517.0,32.87347--96.75619,True,False,2.0,,,,,,,,,,,,,,,,
26766682,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/881b783d33d26cc8e834640c29372458-p_e.jpg,True,/homedetails/2606-Fordham-Rd-Dallas-TX-75216/26766682_zpid/,FOR_SALE,House for sale,"$339,999",$340K,"2606 Fordham Rd, Dallas, TX 75216",4.0,3.0,1880.0,64 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,5577922000.0,32.7058,-96.783295,26766682.0,2606 Fordham Rd,75216,Dallas,TX,32.7058,-96.783295,339999.0,3.0,4.0,1880.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,339999.0,5577922000.0,True,False,False,USD,USA,341530.0,,8842.68,sqft,False,1716361200000.0,331900.0,2400.0,"$2,001 (May 22)",-2001.0,,,,,,,,,,,,,,,,,,,,,,,,,
26734078,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8e6036a737654460a3d0e2356ee9d923-p_e.jpg,True,/homedetails/315-Dubois-Ave-Dallas-TX-75203/26734078_zpid/,FOR_SALE,House for sale,"$499,000",$499K,"315 Dubois Ave, Dallas, TX 75203",4.0,3.0,3051.0,3D Tour,threeDHome,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,False,,False,False,625528000.0,32.745758,-96.78993,26734078.0,315 Dubois Ave,75203,Dallas,TX,32.745758,-96.78993,499000.0,3.0,4.0,3051.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,499000.0,625528000.0,True,False,False,USD,USA,50000.0,,5662.8,sqft,False,,495200.0,1584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
338034638,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d60955b1c995df390812ab263188d263-p_e.jpg,True,/homedetails/14564-Gully-Pl-Dallas-TX-75253/338034638_zpid/,FOR_SALE,House for sale,"$324,900",$325K,"14564 Gully Pl, Dallas, TX 75253",4.0,2.0,2046.0,58 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,5012892000.0,32.69246,-96.593704,338034638.0,14564 Gully Pl,75253,Dallas,TX,32.69246,-96.593704,324900.0,2.0,4.0,2046.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,324900.0,5012892000.0,True,False,False,USD,USA,278000.0,,6969.6,sqft,False,1717398000000.0,316700.0,2294.0,$100 (Jun 3),-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
