,zipid,sellertype,marketstatus,fulladdress,beds,baths,sqft,update,updatetype,timeonzillow,latitude,longitude,streetaddress,zipcode,city,state,price,livingarea,hometype,taxassessedvalue,lotareavalue,lotareaunit,datepricechange,zestimate,rentzestimate,pricechange,url,streetviewurl,streetviewmetadataurl
0,26683152,For Sale by Agent,Condo for sale,"4044 Buena Vista St APT 218, Dallas, TX 75204",2.0,3.0,1085.0,Showcase,showcase,1208443000,32.814713,-96.79588,4044 Buena Vista St APT 218,75204,Dallas,TX,325000,1085,CONDO,254980,0.861,acres,,0,0,,/homedetails/4044-Buena-Vista-St-APT-218-Dallas-TX-75204/26683152_zpid/,,
1,26809367,For Sale by Agent,House for sale,"3223 Whitehall Dr, Dallas, TX 75229",4.0,3.0,1988.0,Showcase,showcase,370715000,32.901066,-96.8676,3223 Whitehall Dr,75229,Dallas,TX,525000,1988,SINGLE_FAMILY,475730,0.298,acres,1713855600000.0,535200,3300,-17000.0,/homedetails/3223-Whitehall-Dr-Dallas-TX-75229/26809367_zpid/,,
2,26903542,For Sale by Agent,House for sale,"10777 Strait Ln, Dallas, TX 75229",6.0,11.0,17679.0,13 days on Zillow,daysOnZillow,1172569000,32.8943,-96.82546,10777 Strait Ln,75229,Dallas,TX,40000000,17679,SINGLE_FAMILY,10448460,3.304,acres,,36954700,69738,,/homedetails/10777-Strait-Ln-Dallas-TX-75229/26903542_zpid/,,
3,26813671,For Sale by Agent,House for sale,"5525 Glen Forest Ln, Dallas, TX 75241",4.0,4.0,2910.0,265 days on Zillow,daysOnZillow,-2147483648,32.678993,-96.82058,5525 Glen Forest Ln,75241,Dallas,TX,300000,2910,SINGLE_FAMILY,490320,2.118,acres,1717225200000.0,283300,2829,-99000.0,/homedetails/5525-Glen-Forest-Ln-Dallas-TX-75241/26813671_zpid/,,
4,96527896,For Sale by Agent,House for sale,"4002 Agnes St, Dallas, TX 75210",4.0,3.0,1653.0,Showcase,showcase,-2147483648,32.76537,-96.73679,4002 Agnes St,75210,Dallas,TX,300000,1653,SINGLE_FAMILY,243480,0.13,acres,,0,2365,,/homedetails/4002-Agnes-St-Dallas-TX-75210/96527896_zpid/,,
5,26757825,For Sale by Agent,House for sale,"5619 Walnut Hill Ln, Dallas, TX 75229",10.0,17.0,27092.0,72 days on Zillow,daysOnZillow,-2147483648,32.8825,-96.81111,5619 Walnut Hill Ln,75229,Dallas,TX,47000000,27092,SINGLE_FAMILY,30604120,11.943,acres,,0,0,,/homedetails/5619-Walnut-Hill-Ln-Dallas-TX-75229/26757825_zpid/,,
7,26766682,For Sale by Agent,House for sale,"2606 Fordham Rd, Dallas, TX 75216",4.0,3.0,1880.0,64 days on Zillow,daysOnZillow,-2147483648,32.7058,-96.783295,2606 Fordham Rd,75216,Dallas,TX,339999,1880,SINGLE_FAMILY,341530,0.203,acres,1716361200000.0,331900,2400,-2001.0,/homedetails/2606-Fordham-Rd-Dallas-TX-75216/26766682_zpid/,,
8,26734078,For Sale by Agent,House for sale,"315 Dubois Ave, Dallas, TX 75203",4.0,3.0,3051.0,3D Tour,threeDHome,625528000,32.745758,-96.78993,315 Dubois Ave,75203,Dallas,TX,499000,3051,SINGLE_FAMILY,50000,0.13,acres,,495200,1584,,/homedetails/315-Dubois-Ave-Dallas-TX-75203/26734078_zpid/,,
9,338034638,For Sale by Agent,House for sale,"14564 Gully Pl, Dallas, TX 75253",4.0,2.0,2046.0,58 days on Zillow,daysOnZillow,-2147483648,32.69246,-96.593704,14564 Gully Pl,75253,Dallas,TX,324900,2046,SINGLE_FAMILY,278000,0.16,acres,1717398000000.0,316700,2294,-100.0,/homedetails/14564-Gully-Pl-Dallas-TX-75253/338034638_zpid/,,
10,26725824,For Sale by Agent,House for sale,"7045 Hillgreen Dr, Dallas, TX 75214",5.0,4.0,5039.0,Open: Sat 11am-1pm,openHouse,259244000,32.846302,-96.73333,7045 Hillgreen Dr,75214,Dallas,TX,2875000,5039,SINGLE_FAMILY,2028010,0.67,acres,,0,0,,/homedetails/7045-Hillgreen-Dr-Dallas-TX-75214/26725824_zpid/,,
11,26725504,For Sale by Agent,House for sale,"1003 Epenard St, Dallas, TX 75211",3.0,2.0,1409.0,18 days on Zillow,daysOnZillow,1608061000,32.735775,-96.85831,1003 Epenard St,75211,Dallas,TX,100000,1409,SINGLE_FAMILY,237910,0.166,acres,,93000,2569,,/homedetails/1003-Epenard-St-Dallas-TX-75211/26725504_zpid/,,
12,26764869,For Sale by Agent,House for sale,"7206 Benning Ave, Dallas, TX 75227",4.0,3.0,2473.0,Open: Fri 8am-7:30pm,openHouse,1951042000,32.773533,-96.69618,7206 Benning Ave,75227,Dallas,TX,379000,2473,SINGLE_FAMILY,395640,0.178,acres,1718262000000.0,366200,2885,-9000.0,/homedetails/7206-Benning-Ave-Dallas-TX-75227/26764869_zpid/,,
13,26680529,For Sale by Agent,House for sale,"3500 Wendelkin St, Dallas, TX 75215",3.0,3.0,1500.0,9 days on Zillow,daysOnZillow,778741000,32.759243,-96.771706,3500 Wendelkin St,75215,Dallas,TX,315000,1500,SINGLE_FAMILY,98670,0.101,acres,,0,0,,/homedetails/3500-Wendelkin-St-Dallas-TX-75215/26680529_zpid/,,
14,26784067,For Sale by Agent,House for sale,"2867 E Overton Rd, Dallas, TX 75216",4.0,2.0,1910.0,18 days on Zillow,daysOnZillow,1565931000,32.714725,-96.77797,2867 E Overton Rd,75216,Dallas,TX,375000,1910,SINGLE_FAMILY,60000,0.138,acres,,367600,2500,,/homedetails/2867-E-Overton-Rd-Dallas-TX-75216/26784067_zpid/,,
15,26756546,For Sale by Agent,House for sale,"11023 Lawnhaven Rd, Dallas, TX 75230",5.0,7.0,4560.0,4 days on Zillow,daysOnZillow,354098000,32.897995,-96.794075,11023 Lawnhaven Rd,75230,Dallas,TX,1795000,4560,SINGLE_FAMILY,1167290,0.355,acres,,1818600,10646,,/homedetails/11023-Lawnhaven-Rd-Dallas-TX-75230/26756546_zpid/,,
18,26825153,For Sale by Agent,House for sale,"437 Glen Oaks Cir, Dallas, TX 75232",4.0,3.0,2152.0,Showcase,showcase,97750000,32.679466,-96.8328,437 Glen Oaks Cir,75232,Dallas,TX,400000,2152,SINGLE_FAMILY,269920,0.39,acres,,404900,2310,,/homedetails/437-Glen-Oaks-Cir-Dallas-TX-75232/26825153_zpid/,,
19,96507132,For Sale by Agent,House for sale,"1810 Fordham Rd, Dallas, TX 75216",4.0,2.0,1485.0,"Price increase: $10,000 (Jun 12)",priceIncrease,660718000,32.698658,-96.79703,1810 Fordham Rd,75216,Dallas,TX,315000,1485,SINGLE_FAMILY,70000,0.154,acres,1718175600000.0,312000,2072,10000.0,/homedetails/1810-Fordham-Rd-Dallas-TX-75216/96507132_zpid/,,
20,26857852,New Construction,New construction,"413 N Moore St, Dallas, TX 75203",3.0,3.0,1615.0,3D Tour,threeDHome,-2147483648,32.753372,-96.80415,413 N Moore St,75203,Dallas,TX,270000,1615,MULTI_FAMILY,75000,0.055,acres,,260600,2995,,/homedetails/413-N-Moore-St-Dallas-TX-75203/26857852_zpid/,,
21,26818110,For Sale by Agent,House for sale,"620 Pleasant Oaks Dr, Dallas, TX 75217",4.0,2.0,1272.0,13 days on Zillow,daysOnZillow,1129207000,32.722347,-96.64119,620 Pleasant Oaks Dr,75217,Dallas,TX,250000,1272,SINGLE_FAMILY,161670,0.21,acres,,0,0,,/homedetails/620-Pleasant-Oaks-Dr-Dallas-TX-75217/26818110_zpid/,,
22,26699688,For Sale by Agent,House for sale,"2406 Anderson St, Dallas, TX 75215",3.0,3.0,1736.0,37 days on Zillow,daysOnZillow,-2147483648,32.745953,-96.75521,2406 Anderson St,75215,Dallas,TX,335000,1736,SINGLE_FAMILY,8750,0.042,acres,1717484400000.0,325500,2395,-10000.0,/homedetails/2406-Anderson-St-Dallas-TX-75215/26699688_zpid/,,
23,343971450,For Sale by Agent,House for sale,"5938 Goodwin Ave, Dallas, TX 75206",4.0,5.0,3897.0,Open: Sat 12pm-4pm,openHouse,-2147483648,32.82359,-96.76423,5938 Goodwin Ave,75206,Dallas,TX,1999750,3897,SINGLE_FAMILY,0,0.161,acres,1715842800000.0,1929200,11350,-98250.0,/homedetails/5938-Goodwin-Ave-Dallas-TX-75206/343971450_zpid/,,
24,26879895,For Sale by Agent,House for sale,"3807 Antigua Dr, Dallas, TX 75244",4.0,3.0,2590.0,Open: Sun 1pm-3pm,openHouse,795268000,32.918808,-96.85052,3807 Antigua Dr,75244,Dallas,TX,840000,2590,SINGLE_FAMILY,711850,0.248,acres,1717570800000.0,0,0,-10000.0,/homedetails/3807-Antigua-Dr-Dallas-TX-75244/26879895_zpid/,,
25,26726951,For Sale by Agent,House for sale,"1939 Berwick Ave, Dallas, TX 75203",5.0,4.0,3007.0,78 days on Zillow,daysOnZillow,-2147483648,32.72735,-96.797844,1939 Berwick Ave,75203,Dallas,TX,500000,3007,SINGLE_FAMILY,60000,0.166,acres,1715324400000.0,485200,3999,-30000.0,/homedetails/1939-Berwick-Ave-Dallas-TX-75203/26726951_zpid/,,
